participant,block,wpm,error_rate,mean_hold_ms,std_hold_ms,mean_flight_ms,std_flight_ms,mean_speed_norm,jitter,calibration_wpm,kss_sleepiness,mental_demand,temporal_demand,performance,effort,frustration,attentiveness,nasa_tlx_composite,score_0_100,cognitive_level
55,9,15.836014607762444,0.1005396799720576,445.50134213773975,343.98593669862515,717.0387084741856,950.5727551300996,0.3570868949058006,0.4493217376673573,1.4004999825265907,8.0,7.0,6.0,3.0,5.0,5.0,2.0,5.5,75.0,HIGH
79,20,26.31600903113313,0.0310197861923346,158.68604218493746,394.0724710893173,1176.7402960776,591.8493584092469,0.6362934217508259,0.3002096670731656,2.7841497958478625,3.0,5.0,5.0,4.0,4.0,3.0,4.0,4.2,53.3,MEDIUM
47,25,30.985113774659293,0.0377835131707222,86.0,112.78216026893446,402.5062857037892,426.99585894113744,0.8106316076129354,0.1558133067279185,3.3054310507203084,3.0,3.0,2.0,5.0,1.0,2.0,6.0,2.5,25.0,LOW
31,15,43.20474230259761,0.0059189713975165,129.64264528432116,58.11164959691856,594.9275950275426,513.6968995589201,0.709469785401896,0.1722190743447447,3.445058805232191,5.0,2.0,2.0,4.0,2.0,3.0,5.0,2.5,25.0,LOW
22,4,23.23602566151252,0.0036063139421639,202.55773176037425,250.27692585827643,681.2607637138063,641.1447587500394,0.4117301357143736,0.0267460120353396,2.517939486693869,2.0,1.0,5.0,6.0,1.0,1.0,6.0,2.8,30.0,LOW
34,21,25.729108760670897,0.0108701244816014,86.84171251805465,102.72403853750876,314.0126259318183,361.8681518034795,0.637461400071912,0.1402230946367753,3.4229893721906968,1.0,2.0,2.0,5.0,2.0,1.0,7.0,2.4,23.3,LOW
67,18,14.906170771899218,0.1445018768445991,310.13936299600186,403.50605238586144,1230.0491809869218,907.1635421144204,0.34,0.4526139692022582,1.8855819117477752,6.0,6.0,7.0,3.0,6.0,7.0,2.0,5.8,80.0,HIGH
76,23,27.08887918326165,0.048558360029979,219.9657088078011,78.13731294247182,253.81044146255329,599.6324485961286,0.6233104323598232,0.2995764876169072,3.665998877403234,4.0,3.0,6.0,4.0,3.0,5.0,5.0,4.2,53.3,MEDIUM
35,10,36.35649953705896,0.0002307360473791,120.8988233854712,31.664004281866085,467.83392651759584,393.55812872752966,0.8281882271114016,0.1684802265536898,3.1887302862888536,2.0,3.0,2.0,4.0,1.0,2.0,5.0,2.4,23.3,LOW
81,24,20.617792839858588,0.0601603929219342,243.9710736098745,208.66077379030472,897.891161726489,700.820462632057,0.6001597909024551,0.1783498334568467,2.9598693259095823,6.0,3.0,6.0,5.0,5.0,5.0,5.0,4.8,63.3,MEDIUM
